Nr. crt.,Adresa,Nr,Sector,Anul construirii,Regimul de inaltime,Numar de apartamente,Aria desfasurata,Anul Elaborarii Expertizei Tehnice,Expertul tehnic atestat pentru cerinţa esenţiala de calitate-rezistenţă mecanică şi stabilitate de către M.D.R.A.P.,Observatii,Clasa de risc seismic
1,Strada ACADEMIEI,1,Sector 3,1905,S+P+2E,0,1.385,1993,Ion VARSA,,1. CLASA I DE RISC SEISMIC
2,Strada ACADEMIEI,15,Sector 1,1890,S+P+3E,10,1.24,1995,Mircea IEREMIA,,1. CLASA I DE RISC SEISMIC
3,Strada ACADEMIEI (Hotelul “MUNTENIA”),19÷21 (corp A+B),Sector 1,1935,S+P+Mz+5E S+P+4E,0,1.074,2005,Ion NEGESCU,Încadrare în clasă de risc seismic în anul 2005,1. CLASA I DE RISC SEISMIC
4,Strada ACADEMIEI (imobil cu destinația de birouri – PRIMĂRIA MUNICIPIULUI BUCUREŞTI),3÷5,Sector 3,1906,2S+P+3E,0,7.162,2012,Mihai URSĂCHESCU,,1. CLASA I DE RISC SEISMIC
5,Strada ALEXANDRU BELDIMAN,1,Sector 5,1935-1947,S+P+9E,82,9.32,2018,Dumitru POPESCU,Reexpertizat tehnic în anul 2018,1. CLASA I DE RISC SEISMIC
6,Bulevardul ALEXANDRU IOAN CUZA,9,Sector 1,1929,S+P+2E+Ma,6,915,1993,Eugeniu IORDACHESCU,,1. CLASA I DE RISC SEISMIC
7,Piata ALEXANDRU LAHOVARI,5A,Sector 1,1935,P+7E,18,2.955,1997,Stelian PICULESCU,,1. CLASA I DE RISC SEISMIC
8,Strada ALEXANDRU XENOPOL,3,Sector 1,1940,S+P+8E,37,4.259,1994,Gabriel NICULESCU,,1. CLASA I DE RISC SEISMIC
9,Strada ARCULUI,4,Sector 2,1932,S+P+7E,26,929,2000,Niculae NEER,,1. CLASA I DE RISC SEISMIC
10,Strada ARMENEASCĂ,17A,Sector 2,1932,S+P+3E+Ma,11,1.438,1995,Armand NEFIAN,,1. CLASA I DE RISC SEISMIC
11,Strada ARMENEASCĂ,28,Sector 2,1935,P+5E+Ma,20,3.945,1999,Mariana STOENESCU,,1. CLASA I DE RISC SEISMIC
12,Strada ARMENEASCA,28A,Sector 2,1935,P+5E,20,3.945,1999,Dinu CIOBOTARIU,,1. CLASA I DE RISC SEISMIC
13,Strada AUREL VLAICU,55,Sector 2,1940,S+P+4E,11,990,1993,Dan STANCIULESCU,,1. CLASA I DE RISC SEISMIC
14,Strada BĂCANI,3÷5,Sector 3,1883,S+P+Mz+2E+Ma,28,3.005,1993,Stelian PICULESCU,,1. CLASA I DE RISC SEISMIC
15,Strada BAIA DE FIER,1,Sector 3,1885,S+P+1E+Ma,3,448,1993,Laurenţiu SPOIALA,,1. CLASA I DE RISC SEISMIC
16,Strada BAIA DE FIER,1A,Sector 3,1883,S+P+1E+Ma,4,547,1993,Laurenţiu SPOIALA,,1. CLASA I DE RISC SEISMIC
17,Strada BAIA DE FIER,4,Sector 3,1922,S+P+2E,3,156,1995,Laurenţiu SPOIALA,,1. CLASA I DE RISC SEISMIC
18,Strada BAIA DE FIER,6,Sector 3,1930,S+P+2E+Pod,11,971,1993,Laurenţiu SPOIALA,,1. CLASA I DE RISC SEISMIC
19,Strada BAIA DE FIER,5,Sector 3,înainte de 1880,S PARTIAL+P+1E,,1.55,2019,Cătălin ȘTEFAN,Reexpertizat tehnic în anul 2019,1. CLASA I DE RISC SEISMIC
20,Strada BALTAGULUI,17,Sector 5,1960,P+2E,12,915,2018,Bogdan GULEAC,Reîncadrare în clasă de risc seismic în anul 2018 (imobilul a fost încadrat iniţial în RsII de expertul tehnic atestat M.D.R.A.P. Dan POPESCU),1. CLASA I DE RISC SEISMIC
